customer_id,first_name,last_name,date_of_birth,gender,email,phone,address,city,state,zip_code,country,account_open_date,customer_type,kyc_status,risk_rating
500028,Paula,Carrillo,1985-07-25,F,paula.carrillo2814@gmail.com,802-979-8013,2096 Odonnell Plain Suite 675,New Ryanborough,NM,58646,US,2019-01-12,individual,verified,high
500029,Lisa,Mooney,1978-05-22,F,lisa.mooney8314@gmail.com,392-749-9143,750 Preston Bridge,East Margaret,NV,05348,US,2019-10-30,business,pending,low
500030,Rebecca,Carter,1995-11-22,F,rebecca.carter7350@yahoo.com,151-188-8827,22489 Joel Camp,Pammouth,NJ,35592,US,2019-01-31,individual,failed,low
500031,Maxwell,Cole,1955-11-28,M,maxwell.cole9914@yahoo.com,639-408-1927,482 Alexander Ramp Suite 792,South Ellen,CO,07340,US,2023-07-11,individual,verified,low
500032,Christopher,Garza,1993-11-29,M,christopher.garza24@yahoo.com,675-957-9633,19351 Johnson Plaza Suite 165,New Lindsayville,FL,61810,US,2019-12-03,individual,verified,low
500033,Brandon,Pham,1964-06-05,F,brandon.pham5015@yahoo.com,613-524-2816,3845 Evans Roads Suite 244,Reedborough,MI,81746,US,2020-01-20,individual,failed,low
500034,Mary,Spencer,1967-08-01,M,mary.spencer175@hotmail.com,920-148-2923,259 Ferguson Shores Suite 066,North Melissaland,IA,53194,US,2024-10-19,individual,verified,medium
500035,Michael,Fox,1987-09-08,F,michael.fox6941@yahoo.com,511-503-5558,006 Pena Knolls,Allisonfort,MI,63422,US,2024-04-29,individual,verified,medium
500036,Dominique,Lopez,1998-06-29,F,dominique.lopez8894@gmail.com,360-084-3800,99378 Kimberly Walk Apt. 691,New Erinfort,TN,87337,US,2021-05-30,individual,verified,medium
500037,Alison,Jackson,1967-05-09,M,alison.jackson127@gmail.com,916-309-1651,004 White Islands Apt. 570,New Jaredhaven,IN,59477,US,2024-07-09,individual,verified,high
500038,Nancy,Washington,1986-02-15,F,nancy.washington420@gmail.com,200-555-0187,52994 Jeffrey Knoll,Elizabethborough,TN,85207,US,2025-09-06,individual,verified,high
500039,James,Lynch,1994-01-22,F,james.lynch4702@hotmail.com,321-243-0258,03613 Donald Overpass,Grosstown,MA,33958,US,2023-06-06,individual,pending,high
500040,Lynn,Nunez,1969-03-26,M,lynn.nunez9503@yahoo.com,447-309-8110,808 Barnes Light Suite 845,East Kelly,GA,85781,US,2020-12-03,individual,verified,low
500041,James,Sanchez,1995-05-01,M,james.sanchez3646@hotmail.com,784-370-1180,61363 Thornton Islands,South Andrewton,FL,29427,US,2019-09-07,individual,failed,low
500042,John,Griffith,1973-03-17,M,john.griffith2264@yahoo.com,116-378-4573,53034 Lindsay Tunnel Apt. 273,East Richard,HI,81367,US,2022-09-23,individual,pending,medium
500043,Chelsea,Hahn,1983-07-04,M,chelsea.hahn9372@yahoo.com,287-022-9400,1102 Catherine Vista Suite 099,Bellmouth,LA,73586,US,2021-07-15,individual,verified,medium
500044,Ashley,Howard,1970-11-07,M,ashley.howard4694@yahoo.com,459-817-1303,284 Thompson Expressway,East Amyborough,WY,29017,US,2024-05-24,individual,failed,low
500045,David,Townsend,1963-01-20,F,david.townsend8050@gmail.com,000-429-5603,93095 May Burg,North Kayla,NH,47103,US,2022-10-22,individual,failed,low
500046,Eric,Smith,1995-01-24,M,eric.smith7886@hotmail.com,255-693-1860,231 Allen Neck Suite 437,North Michael,CA,46658,US,2018-09-07,individual,verified,medium
500047,Christina,Anderson,1997-05-21,F,christina.anderson4471@yahoo.com,630-097-6325,3976 Proctor Green,East Stacyville,DE,36449,US,2025-01-20,individual,verified,medium
500048,Dustin,Smith,1984-11-29,F,dustin.smith9881@yahoo.com,569-414-3140,98878 Martin Ridge,Johnborough,KS,94952,US,2025-05-19,business,pending,medium
500049,Samantha,Garcia,1968-03-21,M,samantha.garcia8282@hotmail.com,428-408-8856,028 Hernandez Drive,North Makaylaland,IL,53471,US,2020-03-13,individual,pending,medium
500050,Joseph,Spencer,1968-11-11,F,joseph.spencer8553@hotmail.com,515-596-4870,18703 Luna Stream,Fredbury,PA,87988,US,2023-12-09,individual,verified,high
500051,Melissa,Williamson,1968-11-16,F,melissa.williamson8824@gmail.com,216-980-6813,636 Douglas Spur Suite 626,Michaelville,CT,48333,US,2022-04-01,individual,verified,low
500052,Elizabeth,Douglas,1953-05-02,F,elizabeth.douglas9883@gmail.com,355-172-7484,270 Riley Greens Suite 617,West Jeremy,VA,07848,US,2025-01-31,individual,verified,high
500053,Robert,Mason,1970-11-21,F,robert.mason2181@yahoo.com,706-740-9126,87007 Daniel Meadow,Williamberg,DE,25974,US,2024-07-02,individual,verified,high
500054,Dustin,Kelly,1972-12-08,F,dustin.kelly500@hotmail.com,699-800-8814,946 Baker Squares Apt. 242,New Robert,TX,08250,US,2020-03-17,business,pending,low
500055,Roger,Oliver,1981-06-24,M,roger.oliver8867@gmail.com,821-729-5218,7823 Webb Meadows Suite 659,Gailside,MT,52572,US,2023-03-15,individual,verified,low
500056,Jeffrey,Hawkins,1988-12-05,M,jeffrey.hawkins8759@hotmail.com,855-971-1897,8187 Sarah Flat,South Crystal,CO,60243,US,2018-08-20,individual,verified,medium
500057,Jose,Wallace,1989-11-10,F,jose.wallace7261@hotmail.com,673-268-1361,936 Williams Square Suite 202,Port Jennifer,TX,63626,US,2025-12-26,individual,verified,low
500058,Kyle,Cooley,1956-01-25,M,kyle.cooley5880@yahoo.com,962-413-2459,231 Guerrero Corner,Garystad,TN,68738,US,2024-06-18,individual,pending,medium
500059,Eddie,Horn,2001-07-06,M,eddie.horn3559@yahoo.com,514-343-8250,699 Tiffany Keys,North Jamesland,AZ,47663,US,2022-01-20,individual,verified,low
500060,Brittany,Walton,1988-01-30,M,brittany.walton4200@hotmail.com,283-494-2835,0607 Holland Run,West Carolinefort,FL,52416,US,2022-05-08,individual,verified,low
500061,Kelly,Hall,1975-02-02,F,kelly.hall8161@hotmail.com,170-324-2234,7921 Stephen Camp,Franciscomouth,IL,81983,US,2022-05-15,individual,verified,low
500062,Phillip,Howell,1959-12-18,F,phillip.howell6447@gmail.com,271-720-9840,0943 Michael Crescent,Port Laurafort,CO,16581,US,2020-05-16,individual,verified,low
500063,Thomas,Mills,1982-09-08,F,thomas.mills2990@yahoo.com,256-156-3688,6504 Bennett Loaf Apt. 628,Jeremyfort,KY,41057,US,2023-03-29,individual,verified,medium
500064,Cassandra,Hansen,1992-09-08,M,cassandra.hansen6501@gmail.com,871-136-3543,31127 Samuel Turnpike,Lukefort,TX,69773,US,2025-11-05,individual,verified,low
500065,Kristina,Harris,1999-08-04,F,kristina.harris3713@hotmail.com,904-979-1030,79916 Teresa Isle,East Christinafurt,NC,58052,US,2025-04-09,individual,verified,medium
500066,Brian,Patterson,1950-09-29,M,brian.patterson9486@yahoo.com,093-057-7614,9260 Max Drives,Lewisfort,SC,37304,US,2024-08-08,business,verified,high
500067,Benjamin,Grant,2000-12-30,M,benjamin.grant4387@hotmail.com,517-444-4138,8235 Thomas Forks,Harrisside,TN,08241,US,2021-07-06,individual,pending,low
500068,Veronica,Reyes,1973-12-24,M,veronica.reyes5087@gmail.com,779-989-0438,06310 Hahn Roads,Anthonyfurt,NC,16809,US,2023-03-29,individual,verified,medium
500069,Jonathan,Lambert,1983-08-14,F,jonathan.lambert3698@hotmail.com,687-169-0733,09200 Darryl Rapids,North Gina,ME,73216,US,2021-08-10,individual,verified,low
500070,Michael,Johnson,2000-09-19,F,michael.johnson1644@hotmail.com,947-939-8364,061 Christie Camp Apt. 382,Lake Melanie,VA,72941,US,2018-09-09,individual,verified,medium
500071,Crystal,Martin,1989-11-21,F,crystal.martin2334@gmail.com,537-557-2705,501 Hernandez Lodge,Wardmouth,GA,65552,US,2019-10-21,individual,verified,high
500072,Richard,Bender,1983-12-28,M,richard.bender5305@yahoo.com,887-130-8483,00663 Christina Meadow Suite 574,South Steven,KS,84252,US,2020-08-28,business,verified,low
500073,Andrew,Curry,1962-03-09,F,andrew.curry5953@hotmail.com,750-038-1404,801 Jefferson Cliff,Tamaratown,WV,01864,US,2018-09-03,business,verified,low
500074,Karen,Steele,1992-03-14,F,karen.steele9225@gmail.com,534-858-4255,41784 Nicole Way Suite 601,East Kimberly,KS,63126,US,2024-01-11,individual,pending,low
500075,Erin,Dixon,1982-02-24,M,erin.dixon9079@gmail.com,695-352-4693,42599 Jonathan Unions Apt. 193,Jessicaside,MO,75802,US,2025-04-12,individual,verified,high
500076,William,Mann,1996-04-08,M,william.mann2539@hotmail.com,432-445-7434,9512 Angela Trace,Douglasbury,WI,97260,US,2018-06-03,individual,pending,low
500077,Jessica,Pitts,1986-02-11,M,jessica.pitts5702@hotmail.com,210-628-6852,007 Matthew Bypass,East Isaacstad,MS,60995,US,2023-12-10,business,verified,medium
500078,Andrew,Gallagher,2002-07-10,M,andrew.gallagher2354@yahoo.com,148-224-3025,885 Santana Fords Apt. 974,Lake Tracey,KY,01482,US,2020-11-15,individual,pending,low
500079,Amy,Kelly,1969-01-11,M,amy.kelly2084@gmail.com,625-991-4353,569 Steven Estates Apt. 703,Parkside,CT,66509,US,2021-05-28,individual,verified,medium
500080,Carol,Harris,1975-02-02,M,carol.harris3106@gmail.com,630-152-7737,811 Hill Park Apt. 529,New Melindaport,SC,07079,US,2024-05-31,individual,verified,high
500081,Ashley,Brown,1986-01-25,M,ashley.brown3418@gmail.com,558-782-5731,22037 Sarah Key,Bobbystad,AR,84401,US,2020-09-03,individual,verified,medium
500082,Jesse,Parks,2002-09-08,M,jesse.parks7891@yahoo.com,016-478-5060,71986 Wagner Island,North Davidland,AL,96578,US,2021-12-01,individual,verified,low
500083,Keith,Morris,1983-02-19,M,keith.morris214@hotmail.com,193-220-6152,19177 Elliott Brooks Suite 700,Whitemouth,NV,06292,US,2020-05-04,individual,verified,medium
500084,Charles,Hayes,1962-07-30,F,charles.hayes4773@yahoo.com,591-748-9092,360 Davidson Oval,South Teresatown,AZ,55479,US,2025-11-27,business,verified,low
500085,Ryan,Acosta,1967-02-11,M,ryan.acosta6157@yahoo.com,965-273-9831,59822 Zachary Rapid,Gibbsville,OR,57102,US,2024-09-28,individual,verified,low
500086,Stephanie,Vega,1978-03-03,M,stephanie.vega8933@hotmail.com,445-169-6137,40849 Meyer Fork,West Jenniferberg,NH,82477,US,2023-10-29,individual,pending,high
500087,Stanley,Carter,1985-07-29,M,stanley.carter8280@hotmail.com,391-916-5459,062 Belinda Island Apt. 795,Brownburgh,OR,46874,US,2020-08-18,individual,verified,medium
500088,Bruce,Valencia,1955-01-23,F,bruce.valencia2368@hotmail.com,333-020-6822,3845 Angela Ford,Ashleyhaven,CA,42023,US,2023-08-21,individual,verified,high
500089,Madeline,Griffin,2000-03-17,M,madeline.griffin1751@yahoo.com,232-661-0382,86205 Emily Landing,Cameronton,OR,74404,US,2019-01-29,individual,verified,low
500090,Katelyn,Willis,1999-01-05,F,katelyn.willis8656@yahoo.com,294-264-9770,34562 Michael Isle Apt. 742,South Ashleyville,OR,77069,US,2022-09-21,individual,verified,medium
500091,Nicole,Blake,1999-02-27,F,nicole.blake4463@yahoo.com,941-904-5490,4782 Kevin Shoal Suite 661,Port Allisonmouth,AL,08036,US,2024-08-30,business,verified,high
500092,Megan,Gonzales,1988-05-21,F,megan.gonzales5044@hotmail.com,890-061-8020,55677 Lopez Loop,West Christine,NJ,21122,US,2018-10-12,individual,verified,low
500093,Connie,Navarro,1954-08-13,F,connie.navarro4154@yahoo.com,507-654-7889,5939 Henry Lake,Port Kylemouth,NC,94567,US,2023-02-17,individual,verified,low
500094,Vincent,Crawford,1984-02-22,M,vincent.crawford3688@yahoo.com,221-203-7360,45232 David Road,Port Keithton,AK,35115,US,2018-07-13,business,verified,low
500095,Karen,Freeman,1977-09-12,F,karen.freeman6412@gmail.com,953-843-0718,6090 Jennifer Creek Suite 903,East Tina,CT,32891,US,2022-01-17,individual,verified,medium
500096,Ashley,Mercado,1969-11-04,F,ashley.mercado863@hotmail.com,057-207-3115,6238 Howard Curve Suite 301,Huffmanhaven,NE,07923,US,2022-06-05,individual,pending,low
500097,Jacob,Levine,1954-12-17,F,jacob.levine477@hotmail.com,387-942-6340,7551 Roberson Shore Suite 983,East Chelsea,MN,76309,US,2024-12-04,individual,verified,low
500098,Charles,Lamb,1983-06-06,F,charles.lamb7016@gmail.com,280-919-1770,827 Lucas Turnpike,South Brittanyfurt,MI,65556,US,2023-06-09,individual,verified,medium
500099,April,Blevins,1992-09-24,M,april.blevins9563@hotmail.com,766-121-7744,56574 Stacey Vista Suite 598,West Shelby,CT,10289,US,2024-10-01,individual,verified,low
500100,Jason,Schaefer,2000-11-11,M,jason.schaefer3125@gmail.com,801-295-5844,3526 Johnson Mission Apt. 491,North Bob,MA,57042,US,2019-09-17,individual,pending,medium
500101,Sandra,Watson,1984-10-10,M,sandra.watson9708@yahoo.com,404-564-5431,038 Robert Courts,Port Brenda,DE,59600,US,2018-04-21,individual,verified,medium
500102,Jacob,Aguilar,1994-08-06,M,jacob.aguilar5055@yahoo.com,337-009-5113,222 Cortez Meadows,West Angelaberg,ID,46001,US,2020-10-25,individual,verified,low
500103,Helen,Miller,1956-08-30,M,helen.miller2143@hotmail.com,742-231-8583,329 Bell Burg,West Samantha,NV,04275,US,2025-04-08,individual,verified,low
500104,Cindy,Dickerson,1990-05-17,M,cindy.dickerson9048@hotmail.com,814-854-3627,187 Darren Stream Suite 297,Robertshaven,CT,33681,US,2020-06-16,business,pending,low
500105,Diana,Potter,1998-03-14,M,diana.potter1602@hotmail.com,519-261-7586,4290 Jeffrey Vista,South Davidberg,KY,67594,US,2022-02-24,business,verified,medium
500106,Christopher,Mccullough,1951-03-05,M,christopher.mccullough5058@gmail.com,704-047-8737,052 Jessica Mountain Apt. 207,New Melissa,MO,07863,US,2020-06-07,business,verified,low
500107,Courtney,Butler,1989-09-28,F,courtney.butler2514@gmail.com,162-958-1077,676 Melton Glens,Lake Richardton,MS,53600,US,2022-09-04,individual,failed,high
500108,Joseph,Morgan,1985-03-25,F,joseph.morgan8708@hotmail.com,884-442-4504,5386 Stewart Extensions Suite 527,Fishermouth,AZ,31619,US,2025-05-20,business,pending,low
500109,Stacy,Cooper,1954-06-14,F,stacy.cooper9113@gmail.com,541-783-2112,186 Johnson Lock Apt. 458,Robertshire,OR,64934,US,2025-05-17,individual,pending,medium
500110,Samantha,Brown,1998-11-06,M,samantha.brown5368@yahoo.com,568-826-3424,59288 Smith Brook,Derekland,NM,27987,US,2022-03-06,business,verified,low
500111,Phillip,Alvarez,1978-03-03,F,phillip.alvarez3619@gmail.com,586-182-1140,874 Robert Key Suite 712,Port Jessicaberg,UT,62393,US,2024-02-05,business,verified,high
500112,Neil,Mccoy,1990-09-26,M,neil.mccoy9173@gmail.com,200-611-9368,97480 Michelle Fields Apt. 523,Michelleview,SD,89840,US,2018-07-22,business,verified,high
500113,Nathaniel,Hamilton,1974-07-23,M,nathaniel.hamilton4622@hotmail.com,384-607-4916,5561 Latoya Meadow,Port Emilyfort,ND,85180,US,2023-10-30,business,verified,medium
500114,Marcus,Duran,1960-03-29,F,marcus.duran4442@hotmail.com,042-425-8465,35717 Payne Station,Jamesview,NV,77872,US,2022-07-23,individual,verified,medium
500115,Christina,Nelson,1972-08-28,M,christina.nelson7441@hotmail.com,477-279-7280,7140 Stacy Spur,Lauraview,CO,07387,US,2018-05-26,individual,pending,high
500116,Allison,Guzman,1987-03-27,M,allison.guzman6481@gmail.com,736-188-5752,2164 Deborah Square Apt. 180,Port Gloria,MT,86310,US,2022-10-20,individual,verified,high
500117,Cassandra,King,1978-02-22,F,cassandra.king3850@hotmail.com,521-121-5946,38179 Hernandez Manor,North Steventown,WY,49709,US,2025-02-09,individual,verified,high
500118,Christy,Williams,1994-07-11,F,christy.williams7104@yahoo.com,337-019-3639,514 Ricky Meadows Apt. 969,West Larrymouth,MS,24114,US,2024-10-11,individual,verified,medium
500119,Charles,Williams,1965-02-18,M,charles.williams4515@hotmail.com,267-125-8404,0830 Wright Harbors Suite 007,Thorntonton,ME,83650,US,2019-06-28,individual,pending,low
500120,Michele,Ruiz,1988-05-21,M,michele.ruiz3024@yahoo.com,856-449-2559,48869 Parker Plains,North Davidtown,MO,87708,US,2022-10-24,business,verified,low
500121,Cheyenne,Henderson,1959-08-31,F,cheyenne.henderson1585@yahoo.com,531-759-5962,2334 Patricia Drives Apt. 437,East Stevenburgh,MD,51940,US,2022-04-26,business,verified,low
500122,Michelle,Pacheco,1969-07-20,F,michelle.pacheco8807@hotmail.com,575-391-6913,8933 Todd Locks Apt. 639,Alexandraville,AR,60602,US,2025-05-24,individual,verified,low
500123,Edward,Chan,1982-05-14,M,edward.chan3272@yahoo.com,125-748-1532,0639 Connie Avenue Suite 542,Port Peterbury,CA,80485,US,2025-08-07,business,verified,low
500124,Lauren,Huffman,1959-10-21,F,lauren.huffman79@gmail.com,078-949-3506,7238 Anthony Keys,North Johnside,HI,56920,US,2023-06-11,individual,verified,low
500125,Matthew,Hayes,1990-12-07,M,matthew.hayes7301@yahoo.com,810-320-2240,3281 Salazar Well,Katherineport,HI,27899,US,2019-12-21,individual,verified,medium
500126,Sheila,Thomas,1959-11-22,F,sheila.thomas6231@hotmail.com,674-009-4043,141 Brandy Pines Suite 360,Wolfebury,CA,35151,US,2024-11-04,individual,pending,medium
500127,Billy,Spence,1965-04-07,F,billy.spence8557@gmail.com,300-572-3953,9182 Jeffrey Crossing,Tuckerchester,OH,18458,US,2021-10-29,individual,verified,high
500128,Carla,Carpenter,1974-07-11,M,carla.carpenter1969@hotmail.com,817-548-1442,52156 Donald Skyway,West Nicole,IN,65483,US,2025-02-12,individual,verified,medium
500129,Kristopher,Sanders,1994-06-18,F,kristopher.sanders248@hotmail.com,792-718-5513,35979 Camacho Plains Apt. 878,Craighaven,ND,55288,US,2023-01-07,individual,verified,high
500130,Wendy,Ruiz,1967-07-10,F,wendy.ruiz2482@hotmail.com,393-693-9499,2020 Patricia Estates Apt. 048,North Mariahview,OR,55210,US,2025-01-18,individual,verified,low
500131,Allison,Davis,1980-08-22,F,allison.davis7948@hotmail.com,933-138-6349,52493 Adkins Creek,West Coryfurt,PA,24938,US,2024-05-30,business,verified,low
500132,Linda,Peters,1971-10-17,F,linda.peters4302@yahoo.com,103-016-4040,762 Daniel Point,South Christieview,GA,32564,US,2021-09-08,individual,verified,medium
500133,Megan,Gordon,1973-05-22,F,megan.gordon5132@gmail.com,148-219-9120,44185 Chad Mall Suite 415,New Cheyennefort,CA,97751,US,2024-07-24,business,verified,low
500134,Lisa,Rivera,1983-02-12,M,lisa.rivera8420@hotmail.com,113-431-5329,49392 Kimberly Fords,Janetfurt,NV,32247,US,2020-08-28,individual,verified,low
500135,Joshua,Dawson,1988-03-18,M,joshua.dawson7397@gmail.com,624-719-3916,77308 Miles Spring Suite 036,Aliciaton,AR,02126,US,2025-04-16,individual,verified,high
500136,Nicole,Martin,1977-04-19,F,nicole.martin5332@yahoo.com,406-467-6517,7532 Valerie Ford,Nguyenmouth,IN,57570,US,2020-10-02,individual,failed,medium
500137,Kelly,Rodriguez,1951-10-20,M,kelly.rodriguez5889@hotmail.com,300-159-0382,30922 Kimberly Flats Suite 445,Colemantown,MO,78289,US,2024-11-15,individual,verified,medium
500138,Laura,Grimes,1984-01-21,F,laura.grimes1255@gmail.com,669-580-4940,4465 Mark Court Suite 923,North Tracihaven,MN,66481,US,2023-04-26,individual,verified,high
500139,James,Gibbs,1996-06-12,F,james.gibbs119@hotmail.com,284-455-0742,037 Adams Center,North Adammouth,WA,57307,US,2024-12-10,individual,verified,medium
500140,Alyssa,Berger,1995-06-21,M,alyssa.berger256@yahoo.com,790-364-9644,216 Greer Pike,Lake Vincent,SC,74394,US,2018-01-24,individual,verified,low
500141,Tommy,Pacheco,1959-03-01,F,tommy.pacheco5650@hotmail.com,348-596-3572,315 Kiara Spring,Johnsonmouth,CT,78303,US,2021-06-30,individual,verified,medium
500142,Justin,Jones,1982-03-22,F,justin.jones8720@yahoo.com,581-001-5447,24573 Gregory Square Suite 800,Port Adam,WY,90072,US,2020-02-15,individual,pending,low
500143,Jeffrey,Bond,1953-04-03,F,jeffrey.bond2865@hotmail.com,707-896-1783,250 Kristin Stravenue,Shaunburgh,RI,23797,US,2022-06-03,individual,verified,high
500144,Shelly,Lopez,1954-06-14,F,shelly.lopez3953@hotmail.com,260-175-4269,09912 Hernandez Inlet,Lake Christine,ND,99811,US,2023-10-26,business,verified,medium
500145,Maria,Ball,1997-07-02,M,maria.ball7675@gmail.com,845-672-7857,23948 Castillo Mills,West Phillipbury,VA,27489,US,2019-11-27,business,verified,low
500146,Deanna,Barber,1952-10-27,F,deanna.barber287@gmail.com,921-370-1832,0316 Fowler Street Suite 434,New Alyssastad,MD,83415,US,2022-04-27,individual,verified,low
500147,Sean,Patterson,1950-08-13,F,sean.patterson43@hotmail.com,515-021-8645,94151 Russell Gardens,Davistown,KY,72414,US,2022-01-04,individual,verified,medium
500148,Michael,Gillespie,1954-04-09,M,michael.gillespie8410@hotmail.com,303-253-5559,97205 Smith Roads Suite 420,Port Douglas,NM,47999,US,2020-08-03,individual,verified,low
500149,Ashley,Lamb,1983-11-17,M,ashley.lamb2273@hotmail.com,670-710-6011,032 Jason Shores,East Michael,NJ,40450,US,2020-01-21,individual,pending,low
500150,Jeffrey,Watts,1988-04-13,F,jeffrey.watts971@hotmail.com,453-656-0267,21638 John Prairie Suite 223,Thomasside,KY,34922,US,2020-04-30,individual,verified,high
500151,Jeff,Patterson,1979-10-13,M,jeff.patterson4266@hotmail.com,099-607-9391,1507 Courtney Circle,South Katherinestad,NJ,26723,US,2020-08-15,individual,verified,low
500152,Hayley,Peterson,1987-07-13,F,hayley.peterson4263@hotmail.com,851-532-0928,534 Debra Route,Albertland,PA,42344,US,2020-04-23,individual,pending,medium
500153,Stephanie,Jackson,1968-10-08,F,stephanie.jackson3111@hotmail.com,800-648-6157,932 Powell Road Suite 492,Harrishaven,WY,81493,US,2021-06-04,business,verified,medium
500154,Debra,Ray,1981-02-08,F,debra.ray4850@hotmail.com,012-669-9300,7642 Montgomery Inlet Apt. 828,New Patriciaberg,GA,44709,US,2022-09-20,individual,verified,low
500155,Michael,Short,1952-04-15,F,michael.short2562@yahoo.com,691-782-7297,36908 Patterson Extension,New Richard,NJ,10213,US,2020-11-11,business,verified,low
500156,Robert,Kirk,1971-09-29,M,robert.kirk6337@gmail.com,240-403-4176,971 Samantha Neck,Cameronborough,ME,68627,US,2019-01-09,individual,verified,high
500157,Nicholas,Johnson,1967-12-15,F,nicholas.johnson6016@yahoo.com,042-086-6478,59430 Laura Curve Suite 941,Johnmouth,NE,33453,US,2021-06-25,individual,failed,high
500158,Lisa,Martinez,1964-01-12,F,lisa.martinez4728@yahoo.com,050-982-2162,322 Smith Tunnel Suite 074,New John,ID,10982,US,2022-10-20,individual,verified,medium
