account_id,customer_id,account_type,account_number,branch_id,balance,currency,status,interest_rate,opened_date,last_activity_date
ACC-600171,502563,savings,2027-5053-3607-3262,BR-0085,148188.26,USD,active,1.1247,2023-10-04,2024-11-21
ACC-600172,502878,checking,9866-9965-9808-5472,BR-0029,25890.04,USD,active,0.0248,2021-09-29,2021-10-08
ACC-600173,502515,savings,6624-5678-0221-1691,BR-0150,6274.18,USD,closed,3.4642,2021-03-30,2022-02-17
ACC-600174,500095,savings,6694-1075-8843-3738,BR-0060,191663.03,USD,dormant,0.9919,2022-10-15,2024-07-13
ACC-600175,500967,money_market,3220-2003-7874-1384,BR-0118,182486.82,USD,active,1.9813,2021-11-21,2023-09-05
ACC-600176,500183,savings,8280-7364-5114-3986,BR-0081,199173.84,USD,active,3.4446,2021-03-02,2021-08-23
ACC-600177,502642,checking,7665-1844-8552-2062,BR-0161,36984.25,USD,active,0.4928,2022-09-03,2022-09-23
ACC-600178,501611,savings,0477-2661-7864-0858,BR-0135,154744.34,USD,active,4.3876,2024-10-20,2025-09-03
ACC-600179,500083,checking,0577-1575-7895-4118,BR-0069,25000.32,USD,closed,0.0538,2024-04-22,2025-10-31
ACC-600180,500020,money_market,7406-0193-6352-2352,BR-0101,190388.62,USD,active,4.3924,2023-07-24,2024-11-30
ACC-600181,502241,savings,5513-8726-6645-7358,BR-0097,103276.84,USD,dormant,1.2679,2024-08-11,2025-02-10
ACC-600182,502930,checking,4530-1913-6331-6794,BR-0038,24063.79,USD,dormant,0.4419,2020-02-27,2021-08-21
ACC-600183,502932,checking,7707-6836-6684-6519,BR-0015,19831.35,USD,active,0.4757,2024-07-27,2024-08-09
ACC-600184,502863,savings,2221-5748-2862-8993,BR-0187,64437.41,USD,active,1.8852,2022-10-11,2023-01-26
ACC-600185,501370,checking,5828-1187-2923-4851,BR-0023,41863.06,USD,active,0.0962,2025-01-13,2025-08-16
ACC-600186,500312,cd,7118-7436-4420-8651,BR-0081,6342.36,USD,active,3.2196,2025-03-23,2025-06-19
ACC-600187,500637,money_market,6795-7080-1059-6259,BR-0198,258567.26,USD,active,2.2027,2019-02-07,2019-05-30
ACC-600188,502750,checking,0064-7150-5441-0790,BR-0007,17280.92,USD,dormant,0.3354,2020-11-30,2022-10-16
ACC-600189,502224,checking,3542-1771-6558-7604,BR-0079,47675.95,USD,dormant,0.257,2019-05-24,2021-03-19
ACC-600190,502162,checking,8626-4211-4225-9412,BR-0163,36734.51,USD,closed,0.3531,2022-12-31,2023-04-14
ACC-600191,502372,savings,3047-3460-3676-5453,BR-0037,80068.38,USD,active,1.8126,2022-07-28,2023-09-28
ACC-600192,501524,money_market,4280-0271-4665-7588,BR-0041,146952.57,USD,active,2.8795,2022-07-19,2024-01-18
ACC-600193,501038,checking,1103-7192-4426-3801,BR-0128,6736.48,USD,active,0.0335,2019-12-18,2021-01-14
ACC-600194,500089,checking,7065-6711-1687-0360,BR-0036,21451.39,USD,active,0.1579,2024-05-02,2025-08-15
ACC-600195,502025,savings,6219-1767-7800-5313,BR-0032,117026.22,USD,active,0.7144,2024-03-23,2025-05-09
ACC-600196,501015,savings,4494-4162-2881-6596,BR-0088,69761.0,USD,dormant,2.1258,2025-12-26,2025-12-29
ACC-600197,502964,checking,0543-7704-5509-6423,BR-0175,34249.77,USD,active,0.1028,2023-04-14,2024-07-13
ACC-600198,500378,checking,2685-3488-7585-3415,BR-0043,40457.14,USD,active,0.1094,2025-10-21,2025-11-20
ACC-600199,502289,checking,2481-6041-8848-3820,BR-0148,32553.24,USD,active,0.2728,2021-04-03,2023-02-07
ACC-600200,502628,savings,6176-0533-5082-2124,BR-0120,68324.52,USD,frozen,3.9723,2024-02-03,2025-11-14
ACC-600201,500538,savings,5296-5444-2056-7062,BR-0026,43723.48,USD,dormant,4.0084,2024-10-31,2025-11-15
ACC-600202,501554,checking,4651-4673-8856-8679,BR-0006,23642.27,USD,closed,0.4878,2025-05-31,2025-08-04
ACC-600203,501950,savings,1486-3562-3004-2351,BR-0172,111001.3,USD,active,1.8475,2023-12-24,2025-08-15
ACC-600204,501066,cd,2062-7495-7820-2791,BR-0064,154178.17,USD,active,3.0944,2021-06-13,2022-08-05
ACC-600205,501228,money_market,1342-6313-6208-2860,BR-0178,92576.2,USD,active,4.6789,2023-03-18,2024-10-26
ACC-600206,501635,savings,5497-2227-7726-3482,BR-0040,144142.66,USD,frozen,0.5276,2021-12-24,2023-04-10
ACC-600207,501260,checking,7764-0496-9595-7146,BR-0088,18590.83,USD,active,0.0179,2019-02-20,2019-06-28
ACC-600208,501677,checking,3848-3097-5780-6317,BR-0094,24515.27,USD,closed,0.0313,2024-09-13,2025-11-26
ACC-600209,501827,savings,8978-3563-9242-9138,BR-0034,46817.29,USD,active,3.7838,2024-04-04,2024-12-03
ACC-600210,501482,savings,7411-6560-8905-1049,BR-0133,71874.94,USD,active,1.6395,2022-11-24,2023-06-30
ACC-600211,502534,money_market,1312-6761-2975-4362,BR-0168,296608.49,USD,active,3.7895,2019-12-01,2021-04-23
ACC-600212,502825,savings,0363-5654-2249-0509,BR-0065,175859.01,USD,active,0.933,2024-06-21,2025-04-07
ACC-600213,502822,checking,6002-6512-1230-8019,BR-0145,31013.76,USD,closed,0.0683,2022-10-09,2023-01-23
ACC-600214,502693,savings,6988-1366-5228-3796,BR-0004,3964.42,USD,active,0.5529,2021-04-14,2022-04-22
ACC-600215,502195,checking,9270-2971-1687-2960,BR-0088,36036.14,USD,active,0.3829,2023-09-04,2025-07-21
ACC-600216,501930,checking,3328-7462-1727-1401,BR-0185,22381.79,USD,active,0.2215,2021-12-22,2023-01-02
ACC-600217,500910,checking,6801-3807-6701-6710,BR-0168,40468.89,USD,active,0.2345,2019-12-26,2020-12-29
ACC-600218,500635,savings,0709-5438-2859-4122,BR-0194,132937.14,USD,frozen,3.8318,2025-01-10,2025-03-14
ACC-600219,501007,checking,7095-7873-4655-5434,BR-0016,30493.55,USD,dormant,0.155,2024-11-23,2024-12-22
ACC-600220,500491,money_market,1515-7943-8938-6465,BR-0015,271234.29,USD,dormant,3.2118,2021-02-12,2022-05-23
ACC-600221,501218,checking,2487-0395-4238-2217,BR-0045,36282.37,USD,closed,0.0187,2023-10-02,2025-07-11
ACC-600222,501800,checking,2183-9609-8783-6833,BR-0176,37643.04,USD,dormant,0.1991,2025-05-22,2025-11-01
ACC-600223,502703,cd,4850-0048-3505-5936,BR-0034,189365.86,USD,closed,3.5322,2022-04-20,2023-10-21
ACC-600224,502191,savings,4570-2910-9582-0306,BR-0034,177553.49,USD,dormant,4.6716,2025-04-17,2025-06-30
ACC-600225,501429,cd,2002-5732-9125-6298,BR-0200,187991.28,USD,active,3.3909,2020-09-27,2020-10-20
ACC-600226,501285,checking,6058-6032-8170-9429,BR-0138,14426.28,USD,active,0.2667,2020-12-13,2021-12-10
ACC-600227,500420,checking,9169-4499-5164-9903,BR-0199,5867.04,USD,dormant,0.4158,2025-10-03,2025-11-16
ACC-600228,502928,checking,5728-8440-6191-7883,BR-0118,7654.6,USD,dormant,0.3028,2022-03-28,2023-02-03
ACC-600229,500436,savings,7497-5506-4648-6578,BR-0176,7931.22,USD,dormant,0.815,2021-04-29,2022-09-26
